id;news_for_role;title;tags;summary;description;link;published_dt;published_ts;description_preproc;title_preproc;summary_preproc
0;booker;Ошибки в данных физлиц - недостоверные сведения, за которые штрафуют, подтвердил суд;;"Организация представила в инспекцию справки 2-НДФЛ. Налоговики обнаружили в них ошибки: не было ИНН налогоплательщиков, даты рождения указали как 01.01.1900. Организацию оштрафовали. Она обратилась в суд.
Арбитры поддержали контролеров:
- любые сведения в справках...";"Организация представила в инспекцию справки 2-НДФЛ. Налоговики обнаружили в них ошибки: не было ИНН налогоплательщиков, даты рождения указали как 01.01.1900. Организацию оштрафовали. Она обратилась в суд.
Арбитры поддержали контролеров:
- любые сведения в справках...";http://www.consultant.ru/law/review/208422377.html#utm_campaign=rss_db&utm_source=rss_reader&utm_medium=rss;2022-10-07 12:00:00+03:00;1665133200.0;организация представить инспекция справка 2 ндфл налоговик обнаружить ошибка инна налогоплательщик дата рождение указать 01 01 1900 организация оштрафовать обратиться суд арбитр поддержать контролёр любой сведение справка;ошибка данные физлицо недостоверный сведение который штрафовать подтвердить суд;организация представить инспекция справка 2 ндфл налоговик обнаружить ошибка инна налогоплательщик дата рождение указать 01 01 1900 организация оштрафовать обратиться суд арбитр поддержать контролёр любой сведение справка
1;booker;Срок на возврат налоговой переплаты считают с даты подачи декларации, указала кассация;;Организация обратилась к налоговикам за возвратом НДС. Контролеры отказали, так как налогоплательщик подал заявление несвоевременно. Спор дошел до суда. Первая инстанция и апелляция поддержали организацию: налогоплательщик подал заявление в пределах 3-летнего...;Организация обратилась к налоговикам за возвратом НДС. Контролеры отказали, так как налогоплательщик подал заявление несвоевременно. Спор дошел до суда. Первая инстанция и апелляция поддержали организацию: налогоплательщик подал заявление в пределах 3-летнего...;http://www.consultant.ru/law/review/208422378.html#utm_campaign=rss_db&utm_source=rss_reader&utm_medium=rss;2022-10-07 12:00:00+03:00;1665133200.0;организация обратиться налоговик возврат ндс контролёр отказать налогоплательщик подать заявление несвоевременно спор дойти суд первый инстанция апелляция поддержать организация налогоплательщик подать заявление предел 3 летний;срок возврат налоговый переплата считать дата подача декларация указать кассация;организация обратиться налоговик возврат ндс контролёр отказать налогоплательщик подать заявление несвоевременно спор дойти суд первый инстанция апелляция поддержать организация налогоплательщик подать заявление предел 3 летний
2;booker;В Москве приняли допмеры поддержки семей мобилизованных;;"Мэр Москвы принял ряд мер соцподдержки семей граждан, которые попали под частичную мобилизацию. Это, например:
- единовременная матпомощь (п. 1.12 указа);
- организация профобучения и дополнительного профобразования супруги и детей трудоспособного возраста...";"Мэр Москвы принял ряд мер соцподдержки семей граждан, которые попали под частичную мобилизацию. Это, например:
- единовременная матпомощь (п. 1.12 указа);
- организация профобучения и дополнительного профобразования супруги и детей трудоспособного возраста...";http://www.consultant.ru/law/review/208422379.html#utm_campaign=rss_db&utm_source=rss_reader&utm_medium=rss;2022-10-07 12:00:00+03:00;1665133200.0;мэр москва принять ряд мера соцподдержка семья гражданин который попасть частичный мобилизация это например единовременный матпомощь п 1 12 указ организация профобучение дополнительный профобразование супруг ребёнок трудоспособный возраст;москва принять допмера поддержка семья мобилизовать;мэр москва принять ряд мера соцподдержка семья гражданин который попасть частичный мобилизация это например единовременный матпомощь п 1 12 указ организация профобучение дополнительный профобразование супруг ребёнок трудоспособный возраст
3;booker;Суд поддержал работодателя, который согласовал перенос отдыха из-за болезни на удобные для себя даты;;"Работодатель не обязан переносить отпуск сотрудника из-за болезни на те даты, которые тот просит. Такой вывод сделали суды. Они учли, что организация не отказала в переносе отпуска, но определила для этого период, когда выходил заменяющий сотрудник.
Продлить...";"Работодатель не обязан переносить отпуск сотрудника из-за болезни на те даты, которые тот просит. Такой вывод сделали суды. Они учли, что организация не отказала в переносе отпуска, но определила для этого период, когда выходил заменяющий сотрудник.
Продлить...";http://www.consultant.ru/law/review/208422380.html#utm_campaign=rss_db&utm_source=rss_reader&utm_medium=rss;2022-10-07 12:00:00+03:00;1665133200.0;работодатель обязать переносить отпуск сотрудник болезнь тот дата который просить вывод сделать суд учесть организация отказать перенос отпуск определить период выходить заменять сотрудник продлить;суд поддержать работодатель который согласовать перенос отдых болезнь удобный дата;работодатель обязать переносить отпуск сотрудник болезнь тот дата который просить вывод сделать суд учесть организация отказать перенос отпуск определить период выходить заменять сотрудник продлить
4;booker;"Проект Приказа Минцифры России ""Об утверждении Порядка выдачи документа, подтверждающего отнесение предусмотренных договором услуг (работ) к разработке программно-аппаратных комплексов""";;"Проект Приказа Минцифры России ""Об утверждении Порядка выдачи документа, подтверждающего отнесение предусмотренных договором услуг (работ) к разработке программно-аппаратных комплексов""";"Проект Приказа Минцифры России ""Об утверждении Порядка выдачи документа, подтверждающего отнесение предусмотренных договором услуг (работ) к разработке программно-аппаратных комплексов""";http://www.consultant.ru/law/hotdocs/link/?id=77427#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 17:47:36+03:00;1665154056.0;проект приказ минцифра россия утверждение порядок выдача документ подтверждать отнесение предусмотреть договор услуга работа разработка программно аппаратный комплекс;проект приказ минцифра россия утверждение порядок выдача документ подтверждать отнесение предусмотреть договор услуга работа разработка программно аппаратный комплекс;проект приказ минцифра россия утверждение порядок выдача документ подтверждать отнесение предусмотреть договор услуга работа разработка программно аппаратный комплекс
5;booker;"Указание Банка России от 26.08.2022 N 6227-У ""О критериях, которым должны соответствовать микрофинансовые организации предпринимательского финансирования"" (Зарегистрировано в Минюсте России 28.09.2022 N 70268)";;"С 1 октября 2023 года вводятся критерии, которым должны соответствовать МФО, предоставляющие микрозаймы субъектам МСП и (или) организациям, образующим инфраструктуру поддержки субъектов МСП
Критерии определены в отношении количества заключенных договоров микрозайма...";"С 1 октября 2023 года вводятся критерии, которым должны соответствовать МФО, предоставляющие микрозаймы субъектам МСП и (или) организациям, образующим инфраструктуру поддержки субъектов МСП
Критерии определены в отношении количества заключенных договоров микрозайма...";http://www.consultant.ru/law/hotdocs/77426.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 15:45:14+03:00;1665146714.0;1 октябрь 2023 год вводиться критерий который должный соответствовать мфо предоставлять микрозаём субъект мсп организация образовать инфраструктура поддержка субъект мсп критерий определить отношение количество заключить договор микрозаём;указание банк россия 26 08 2022 n 6227 критерий который должный соответствовать микрофинансовый организация предпринимательский финансирование зарегистрировать минюст россия 28 09 2022 n 70268;1 октябрь 2023 год вводиться критерий который должный соответствовать мфо предоставлять микрозаём субъект мсп организация образовать инфраструктура поддержка субъект мсп критерий определить отношение количество заключить договор микрозаём
6;booker;"Постановление Правительства РФ от 06.10.2022 N 1769 ""О внесении изменений в некоторые акты Правительства Российской Федерации и признании утратившими силу некоторых актов Правительства Российской Федерации и отдельных положений некоторых актов Правительства Российской Федерации""";;"В Правилах дорожного движения закреплен порядок езды на электросамокатах, гироскутерах, моноколесах и других аналогичных устройствах
Установлено, в частности, что на средствах индивидуальной мобильности допускается перемещаться со скоростью не более 25 км/ч...";"В Правилах дорожного движения закреплен порядок езды на электросамокатах, гироскутерах, моноколесах и других аналогичных устройствах
Установлено, в частности, что на средствах индивидуальной мобильности допускается перемещаться со скоростью не более 25 км/ч...";http://www.consultant.ru/law/hotdocs/77425.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 15:20:07+03:00;1665145207.0;правило дорожный движение закрепить порядок езда электросамокат гироскутер моноколесо другой аналогичный устройство установить частность средство индивидуальный мобильность допускаться перемещаться скорость 25 км ч;постановление правительство рф 06 10 2022 n 1769 внесение изменение некоторый акт правительство российский федерация признание утратить сила некоторый акт правительство российский федерация отдельный положение некоторый акт правительство российский федерация;правило дорожный движение закрепить порядок езда электросамокат гироскутер моноколесо другой аналогичный устройство установить частность средство индивидуальный мобильность допускаться перемещаться скорость 25 км ч
7;booker;"<Информация> Банка России от 07.10.2022 ""У инвесторов есть еще месяц на расконвертацию расписок и перевод российских ценных бумаг из-за рубежа""";;"Банк России: инвесторы смогут подать заявление на принудительную конвертацию депозитарных расписок в российские акции до 10 ноября 2022 года включительно
До указанной даты также продлевается возможность перевода отечественных ценных бумаг из иностранного депозитария...";"Банк России: инвесторы смогут подать заявление на принудительную конвертацию депозитарных расписок в российские акции до 10 ноября 2022 года включительно
До указанной даты также продлевается возможность перевода отечественных ценных бумаг из иностранного депозитария...";http://www.consultant.ru/law/hotdocs/77424.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 14:56:15+03:00;1665143775.0;банк россия инвестор смочь подать заявление принудительный конвертация депозитарный расписка российский акция 10 ноябрь 2022 год включительно указанный дата также продлеваться возможность перевод отечественный ценный бумага иностранный депозитарий;информация банк россия 07 10 2022 инвестор месяц расконвертация расписка перевод российский ценный бумага рубеж;банк россия инвестор смочь подать заявление принудительный конвертация депозитарный расписка российский акция 10 ноябрь 2022 год включительно указанный дата также продлеваться возможность перевод отечественный ценный бумага иностранный депозитарий
8;booker;"Федеральный закон от 07.10.2022 N 390-ФЗ ""О внесении изменений в Федеральный закон ""О промышленной политике в Российской Федерации""";;"Установлены особенности формирования и реализации промышленной политики в сфере проектирования, строительства, ремонта и утилизации судов
Установлено, что формирование и реализация промышленной политики в сфере проектирования, строительства, ремонта, утилизации...";"Установлены особенности формирования и реализации промышленной политики в сфере проектирования, строительства, ремонта и утилизации судов
Установлено, что формирование и реализация промышленной политики в сфере проектирования, строительства, ремонта, утилизации...";http://www.consultant.ru/law/hotdocs/77423.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 14:35:06+03:00;1665142506.0;установить особенность формирование реализация промышленный политика сфера проектирование строительство ремонт утилизация судно установить формирование реализация промышленный политика сфера проектирование строительство ремонт утилизация;федеральный закон 07 10 2022 n 390 фз внесение изменение федеральный закон промышленный политика российский федерация;установить особенность формирование реализация промышленный политика сфера проектирование строительство ремонт утилизация судно установить формирование реализация промышленный политика сфера проектирование строительство ремонт утилизация
9;booker;"Федеральный закон от 07.10.2022 N 391-ФЗ ""О внесении изменений в статью 5 Федерального закона ""Об отходах производства и потребления""";;"Расширен перечень полномочий Российской Федерации в области обращения с отходами производства и потребления
Внесенными изменениями к полномочиям Российской Федерации отнесено в том числе утверждение порядка рассмотрения в досудебном порядке споров, возникающих...";"Расширен перечень полномочий Российской Федерации в области обращения с отходами производства и потребления
Внесенными изменениями к полномочиям Российской Федерации отнесено в том числе утверждение порядка рассмотрения в досудебном порядке споров, возникающих...";http://www.consultant.ru/law/hotdocs/77422.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 14:35:06+03:00;1665142506.0;расширить перечень полномочие российский федерация область обращение отход производство потребление внести изменение полномочие российский федерация отнести число утверждение порядок рассмотрение досудебный порядок спор возникать;федеральный закон 07 10 2022 n 391 фз внесение изменение статья 5 федеральный закон отход производство потребление;расширить перечень полномочие российский федерация область обращение отход производство потребление внести изменение полномочие российский федерация отнести число утверждение порядок рассмотрение досудебный порядок спор возникать
